,gender,detailed_class_of_worker,class_of_worker_employed_unemployed,major_industry,detailed_industry,major_occupation,detailed_occupation,manufacturing
187,2,09,01,18,43,03,10,00
188,2,00,00,00,00,00,00,00
189,2,00,00,00,00,00,00,00
190,1,05,02,17,42,01,04,00
191,2,00,00,00,00,00,00,00
192,1,07,05,03,05,06,25,02
193,1,14,00,00,00,12,00,00
194,1,12,03,02,03,05,15,00
195,2,00,00,00,00,00,00,00
196,2,05,02,17,42,01,04,00
197,2,00,00,00,00,00,00,00
198, ,  ,  ,  ,  ,  ,  ,  
199, ,  ,  ,  ,  ,  ,  ,  
200, ,  ,  ,  ,  ,  ,  ,  
201, ,  ,  ,  ,  ,  ,  ,  
202, ,  ,  ,  ,  ,  ,  ,  
203, ,  ,  ,  ,  ,  ,  ,  
204,1,12,03,02,03,05,15,00
205,2,00,00,00,00,00,00,00
206,1,00,00,00,00,00,00,00
207,1,07,01,02,03,05,15,00
208,2,00,00,00,00,00,00,00
209,1,06,01,03,10,03,11,07
210,2,00,00,00,00,00,00,00
211,1,06,01,04,23,03,11,20
212,2,00,00,00,00,00,00,00
213,1,05,02,20,45,03,11,00
214,1,00,00,00,00,00,00,00
215,2,06,01,03,08,03,11,05
216,1,00,00,00,00,00,00,00
217,2,00,00,00,00,00,00,00
218,1,11,01,12,37,09,34,00
219,1,07,01,04,21,06,26,18
220,2,09,01,18,43,03,10,00
221,1,05,02,20,45,03,11,00
222,2,00,00,00,00,00,00,00
223,1,07,01,03,08,06,25,05
224,2,00,00,00,00,00,00,00
225,1,12,03,17,42,01,06,00
226,2,09,01,10,34,03,10,00
227,1,00,00,00,00,00,00,00
228,1,12,03,09,30,02,08,00
229,2,00,00,00,00,00,00,00
230,1,00,00,00,00,00,00,00
231,2,00,00,00,00,00,00,00
232,1,00,00,00,00,00,00,00
233,1,06,01,04,15,02,07,12
234,2,00,00,00,00,00,00,00
235,1,07,01,04,15,05,19,12
236,2,09,01,15,40,01,02,00
237,2,00,00,00,00,00,00,00
238,1,10,01,16,41,06,27,00
239,2,00,00,00,00,00,00,00
240,2,09,01,09,31,03,11,00
241,1,07,05,02,03,06,27,00
242,2,00,00,00,00,00,00,00
243,2,09,01,07,27,03,11,00
244,1,00,00,00,00,00,00,00
245,1,09,01,09,31,04,12,00
246,2,09,01,14,39,03,11,00
247,1,06,01,04,20,04,13,17
248,1,07,01,03,10,05,17,07
249, ,  ,  ,  ,  ,  ,  ,  
250,1,07,01,02,03,05,15,00
251,2,11,01,09,30,09,33,00
252,1,00,00,00,00,00,00,00
253,2,00,00,00,00,00,00,00
254,2,00,00,00,00,00,00,00
255,1,11,01,11,35,09,32,00
256, ,  ,  ,  ,  ,  ,  ,  
257, ,  ,  ,  ,  ,  ,  ,  
258, ,  ,  ,  ,  ,  ,  ,  
259, ,  ,  ,  ,  ,  ,  ,  
260, ,  ,  ,  ,  ,  ,  ,  
261, ,  ,  ,  ,  ,  ,  ,  
262,1,00,00,00,00,00,00,00
263,2,05,02,20,48,01,05,00
264,1,06,01,04,15,04,13,12
265,2,09,01,10,34,03,11,00
266,2,09,01,10,34,03,11,00
267,1,00,00,00,00,00,00,00
268,1,07,01,04,15,06,22,12
269,2,00,00,00,00,00,00,00
270,2,00,00,00,00,00,00,00
271,2,00,00,00,00,00,00,00
272,1,12,03,04,20,02,09,17
273,2,09,01,09,31,04,12,00
274,1,00,00,00,00,00,00,00
275,2,00,00,00,00,00,00,00
276, ,  ,  ,  ,  ,  ,  ,  
277,2,11,01,17,42,09,34,00
278,1,07,01,03,08,05,17,05
279,2,07,01,04,23,06,26,20
280,1,09,01,07,28,03,11,00
281,2,14,00,00,00,12,00,00
282,1,07,05,03,08,06,22,05
283,1,07,01,03,08,06,25,05
284,2,00,00,00,00,00,00,00
285, ,  ,  ,  ,  ,  ,  ,  
286,1,00,00,00,00,00,00,00
287,1,07,01,03,08,06,25,05
288,2,07,01,03,08,06,25,05
289,1,07,01,03,08,05,16,05
290,2,09,01,08,29,03,11,00
291,2,06,01,04,21,01,05,18
292,1,00,00,00,00,00,00,00
293, ,  ,  ,  ,  ,  ,  ,  
294,1,10,01,11,36,06,27,00
295, ,  ,  ,  ,  ,  ,  ,  
296, ,  ,  ,  ,  ,  ,  ,  
297, ,  ,  ,  ,  ,  ,  ,  
298,1,11,01,09,30,09,33,00
299,1,08,01,04,23,09,33,20
300,2,00,00,00,00,00,00,00
301,1,00,00,00,00,00,00,00
302,2,11,01,14,39,09,34,00
303,1,07,01,04,23,06,26,20
304,2,09,01,07,27,03,11,00
305, ,  ,  ,  ,  ,  ,  ,  
306, ,  ,  ,  ,  ,  ,  ,  
307,2,00,00,00,00,00,00,00
308,2,09,01,18,43,01,05,00
309,1,05,02,10,34,01,05,00
310,2,09,01,17,42,01,04,00
311,2,09,01,08,29,03,11,00
312,1,00,00,00,00,00,00,00
313,1,00,00,00,00,00,00,00
314,1,00,00,00,00,00,00,00
315, ,  ,  ,  ,  ,  ,  ,  
316,2,12,03,14,39,01,03,00
317,1,07,01,03,12,05,17,09
318,2,11,01,09,30,09,33,00
319,1,05,02,17,42,01,04,00
320,2,00,00,00,00,00,00,00
321,1,00,00,00,00,00,00,00
322,2,10,01,06,26,06,27,00
323,2,00,00,00,00,00,00,00
324,1,10,01,06,26,05,16,00
325,2,11,01,14,39,09,34,00
326,1,09,01,10,33,03,11,00
327,1,10,01,11,36,06,27,00
328,2,00,00,00,00,00,00,00
329,2,09,01,10,33,03,11,00
330,1,09,01,10,33,03,11,00
331,2,00,00,00,00,00,00,00
332,1,09,01,10,34,04,13,00
333,2,00,00,00,00,00,00,00
334, ,  ,  ,  ,  ,  ,  ,  
335,1,06,01,04,22,02,07,19
336,2,09,01,14,39,03,11,00
337,2,00,00,00,00,00,00,00
338,1,07,01,03,05,05,16,02
339,2,00,00,00,00,00,00,00
340,1,00,00,00,00,00,00,00
341,2,04,01,00,32,08,31,00
342,1,09,01,09,31,02,07,00
343,2,00,00,00,00,00,00,00
344,1,10,01,05,25,07,30,00
345,2,06,01,04,23,03,11,20
346,1,07,01,04,15,06,22,12
347,2,00,00,00,00,00,00,00
348,1,10,01,09,31,07,30,00
349,1,10,01,11,36,05,18,00
350,2,09,05,11,35,03,10,00
351,1,07,01,03,07,06,25,04
352,2,07,01,03,07,06,25,04
353,1,07,01,03,07,06,25,04
354,1,09,01,11,35,03,11,00
355,2,00,00,00,00,00,00,00
356,1,05,02,20,48,07,30,00
357,2,07,01,03,10,06,25,07
358,1,09,01,08,29,04,13,00
359,2,00,00,00,00,00,00,00
360,1,07,01,03,08,06,25,05
361,2,00,00,00,00,00,00,00
362,1,11,01,14,39,09,33,00
363,2,09,01,09,31,03,11,00
364,1,09,01,15,40,01,02,00
365,2,00,00,00,00,00,00,00
366,1,09,01,17,42,01,05,00
367,2,04,01,00,32,08,31,00
368,1,06,01,03,09,03,11,06
369,1,09,05,18,43,02,07,00
370,2,09,01,15,40,03,11,00
371,1,06,01,03,10,04,13,07
372,2,00,00,00,00,00,00,00
373,1,07,01,03,08,05,16,05
374,2,00,00,00,00,00,00,00
375, ,  ,  ,  ,  ,  ,  ,  
376, ,  ,  ,  ,  ,  ,  ,  
377, ,  ,  ,  ,  ,  ,  ,  
378,1,00,00,00,00,00,00,00
379,2,07,01,04,18,06,26,15
380,1,00,00,00,00,00,00,00
381,1,06,01,03,08,02,07,05
382,2,00,00,00,00,00,00,00
383,1,00,00,00,00,00,00,00
384,2,11,01,14,39,09,34,00
385,1,00,00,00,00,00,00,00
386,2,07,01,04,18,06,26,15
387,1,00,00,00,00,00,00,00
388,1,00,00,00,00,00,00,00
389,1,00,00,00,00,00,00,00
390,2,00,00,00,00,00,00,00
391,1,07,01,04,17,07,29,14
392,2,07,01,04,18,06,26,15
393,1,00,00,00,00,00,00,00
394,2,00,00,00,00,00,00,00
395,1,06,01,03,05,02,07,02
396,2,07,01,04,18,06,26,15
397,1,07,01,03,04,06,25,01
398,1,07,01,03,05,06,25,02
399,1,10,01,06,26,06,22,00
400,2,07,01,03,10,06,25,07
401,2,00,00,00,00,00,00,00
402,1,09,01,09,31,02,07,00
403,2,00,00,00,00,00,00,00
404,1,10,01,17,42,07,30,00
405,2,00,00,00,00,00,00,00
406,1,10,01,07,28,06,22,00
407,2,00,00,00,00,00,00,00
408,2,09,01,09,31,04,12,00
409, ,  ,  ,  ,  ,  ,  ,  
410, ,  ,  ,  ,  ,  ,  ,  
411,1,07,01,03,08,06,25,05
412,2,00,00,00,00,00,00,00
413,2,11,01,15,40,09,34,00
414,1,00,00,00,00,00,00,00
415, ,  ,  ,  ,  ,  ,  ,  
416,1,04,01,00,32,08,31,00
417,2,00,00,00,00,00,00,00
418,2,00,00,00,00,00,00,00
419,2,05,02,20,47,03,11,00
420,1,09,01,17,42,03,11,00
421,1,06,01,02,03,02,07,00
422,2,00,00,00,00,00,00,00
423,1,00,00,00,00,00,00,00
424,2,00,00,00,00,00,00,00
425,1,07,01,03,10,06,25,07
426,2,09,01,09,31,04,12,00
427,2,09,01,10,34,03,10,00
428,2,00,00,00,00,00,00,00
429,1,07,01,04,20,05,21,17
430,2,09,05,13,38,03,11,00
431,1,00,00,00,00,00,00,00
432,2,12,03,12,37,09,34,00
433,2,00,00,00,00,00,00,00
434,1,12,03,12,37,09,34,00
435,2,00,00,00,00,00,00,00
436,1,12,03,03,14,06,25,11
437, ,  ,  ,  ,  ,  ,  ,  
438,2,05,02,20,48,02,07,00
439,2,06,05,04,18,03,11,15
440,1,07,01,03,12,05,17,09
441,2,09,01,12,37,04,13,00
442,2,04,01,00,32,08,31,00
443,1,06,01,04,23,03,11,20
444,2,09,01,14,39,03,11,00
445,1,06,01,03,08,03,11,05
446,2,00,00,00,00,00,00,00
447,2,00,00,00,00,00,00,00
448, ,  ,  ,  ,  ,  ,  ,  
449,1,07,01,03,08,05,20,05
450,2,00,00,00,00,00,00,00
451,1,07,01,03,08,05,20,05
452,1,07,01,03,12,05,19,09
453,2,00,00,00,00,00,00,00
454, ,  ,  ,  ,  ,  ,  ,  
455,1,07,01,04,21,06,26,18
456,2,00,00,00,00,00,00,00
457, ,  ,  ,  ,  ,  ,  ,  
458,1,07,01,03,12,06,25,09
459,2,00,00,00,00,00,00,00
460,2,07,01,04,21,06,26,18
461, ,  ,  ,  ,  ,  ,  ,  
462,1,07,01,03,12,06,22,09
463,2,07,01,03,10,06,25,07
464,2,00,00,00,00,00,00,00
465,1,11,01,10,34,09,34,00
466,1,06,01,03,07,03,11,04
467,2,11,01,14,39,09,34,00
468,2,11,05,14,39,09,34,00
469,2,09,01,09,31,03,11,00
470,1,09,01,10,34,04,13,00
471,2,07,01,03,14,06,25,11
472,2,06,01,04,23,03,10,20
473,1,00,00,00,00,00,00,00
474,2,00,00,00,00,00,00,00
475,1,09,01,12,37,02,07,00
476,2,00,00,00,00,00,00,00
477,2,00,00,00,00,00,00,00
478,1,00,00,00,00,00,00,00
479,1,12,03,02,03,05,14,00
480,2,09,01,17,42,01,04,00
481,2,09,01,09,31,04,12,00
482,2,09,01,10,34,03,10,00
483,2,00,00,00,00,00,00,00
484,1,00,00,00,00,00,00,00
485,2,00,00,00,00,00,00,00
486,2,06,01,03,10,03,11,07
487,1,07,01,03,06,05,21,03
488,2,00,00,00,00,00,00,00
489,1,07,01,03,07,06,25,04
490,2,11,01,15,40,09,34,00
491,2,07,01,03,08,06,25,05
492,2,00,00,00,00,00,00,00
493,1,00,00,00,00,00,00,00
494,2,00,00,00,00,00,00,00
495,1,00,00,00,00,00,00,00
496,2,00,00,00,00,00,00,00
497,1,07,01,03,08,05,17,05
498,2,11,01,14,39,09,34,00
499,2,00,00,00,00,00,00,00
500,1,06,01,03,10,01,05,07
501, ,  ,  ,  ,  ,  ,  ,  
502,1,00,00,00,00,00,00,00
503,1,10,05,06,26,07,30,00
504,1,11,01,12,37,09,34,00
505,2,00,00,00,00,00,00,00
506,1,05,02,20,45,02,07,00
507,2,09,01,07,27,03,11,00
508,2,09,01,07,27,03,11,00
509,2,00,00,00,00,00,00,00
510, ,  ,  ,  ,  ,  ,  ,  
511,1,07,01,03,12,05,19,09
512,2,11,01,15,40,09,34,00
513,2,06,05,04,18,03,11,15
514,1,00,00,00,00,00,00,00
515,1,00,00,00,00,00,00,00
516,2,00,00,00,00,00,00,00
517,2,07,01,04,18,06,26,15
518,2,00,00,00,00,00,00,00
519,1,07,01,04,21,05,19,18
520,2,00,00,00,00,00,00,00
521, ,  ,  ,  ,  ,  ,  ,  
522,2,05,02,17,42,01,05,00
523,1,06,01,03,09,02,07,06
524,2,00,00,00,00,00,00,00
525, ,  ,  ,  ,  ,  ,  ,  
526,1,07,01,03,13,06,25,10
527,2,00,00,00,00,00,00,00
528, ,  ,  ,  ,  ,  ,  ,  
529,1,09,01,17,42,01,05,00
530,2,00,00,00,00,00,00,00
531,1,01,01,00,01,01,05,00
532,2,09,01,15,40,01,02,00
533,1,00,00,00,00,00,00,00
534,2,09,01,09,31,04,12,00
535,1,09,01,09,31,02,07,00
536,2,07,01,03,13,06,25,10
537,2,00,00,00,00,00,00,00
538,1,10,05,09,31,06,27,00
539,1,00,00,00,00,00,00,00
540,1,07,01,02,03,05,15,00
541,2,00,00,00,00,00,00,00
542, ,  ,  ,  ,  ,  ,  ,  
543,1,12,03,02,03,02,09,00
544,2,00,00,00,00,00,00,00
545,1,07,01,02,03,07,28,00
546,2,00,00,00,00,00,00,00
547,1,00,00,00,00,00,00,00
548,2,00,00,00,00,00,00,00
549,1,00,00,00,00,00,00,00
550,2,00,00,00,00,00,00,00
551,1,00,00,00,00,00,00,00
552,2,00,00,00,00,00,00,00
553,1,09,01,16,41,01,05,00
554,2,05,02,17,42,01,04,00
555,1,12,03,10,33,02,09,00
556,2,00,00,00,00,00,00,00
557,1,00,00,00,00,00,00,00
558,1,00,00,00,00,00,00,00
559,1,00,00,00,00,00,00,00
560,2,00,00,00,00,00,00,00
561,1,07,01,03,09,05,20,06
562,2,09,01,09,31,03,11,00
563,1,00,00,00,00,00,00,00
564,1,07,01,02,03,05,14,00
565,2,00,00,00,00,00,00,00
566, ,  ,  ,  ,  ,  ,  ,  
567,1,07,01,03,12,05,19,09
568,2,00,00,00,00,00,00,00
569,2,11,01,09,30,09,33,00
570,1,06,01,03,13,01,05,10
571,2,00,00,00,00,00,00,00
572,2,09,01,15,40,01,02,00
573,1,07,01,03,06,06,25,03
574,2,09,01,10,33,03,11,00
575,1,06,01,03,12,01,01,09
576,2,00,00,00,00,00,00,00
577,1,05,02,20,48,09,32,00
578,2,09,01,14,39,03,11,00
579,2,00,00,00,00,00,00,00
580,1,06,01,03,06,03,11,03
581,2,09,01,09,31,03,11,00
582,1,07,01,04,23,06,26,20
583,2,04,01,00,32,09,34,00
584,1,07,01,04,18,05,20,15
585,2,00,00,00,00,00,00,00
586,1,05,02,20,48,01,05,00
587,1,07,01,02,03,05,15,00
588,2,00,00,00,00,00,00,00
589,1,05,02,17,42,01,05,00
590,2,00,00,00,00,00,00,00
591, ,  ,  ,  ,  ,  ,  ,  
592,1,07,01,04,15,05,21,12
593,2,00,00,00,00,00,00,00
594,2,06,01,03,07,03,10,04
595,1,00,00,00,00,00,00,00
596,1,05,02,20,45,03,11,00
597,2,06,01,04,15,04,13,12
598,2,09,01,17,42,03,10,00
599,1,07,01,03,12,06,25,09
600,2,07,01,03,10,06,25,07
601,2,06,01,03,09,03,11,06
602,1,06,01,03,04,02,07,01
603,2,00,00,00,00,00,00,00
604,2,00,00,00,00,00,00,00
605,1,06,01,03,12,03,11,09
606,1,07,01,03,12,06,25,09
607,1,05,02,20,48,09,32,00
608,2,09,01,18,43,03,10,00
609,2,00,00,00,00,00,00,00
610,1,09,01,09,31,04,12,00
611,2,06,01,03,12,03,10,09
612,2,09,01,18,43,01,05,00
613,2,09,01,07,27,03,11,00
614,1,09,01,10,33,02,07,00
615,2,00,00,00,00,00,00,00
616,1,09,01,09,31,04,12,00
617,2,06,01,03,10,01,05,07
618,2,00,00,00,00,00,00,00
619,2,00,00,00,00,00,00,00
620,1,05,02,20,48,02,07,00
621,1,00,00,00,00,00,00,00
622,2,09,01,15,40,03,11,00
623,2,00,00,00,00,00,00,00
624,2,04,01,00,32,08,31,00
625,1,07,01,02,03,07,28,00
626,1,11,01,09,30,09,33,00
627,2,00,00,00,00,00,00,00
628,1,07,01,03,09,05,21,06
629,1,11,01,15,40,09,34,00
630,2,10,01,15,40,06,27,00
631,1,11,01,13,38,09,34,00
632,2,00,00,00,00,00,00,00
633,1,07,01,02,03,07,28,00
634,1,00,00,00,00,00,00,00
635,1,07,01,03,07,05,20,04
636,2,00,00,00,00,00,00,00
637,2,11,01,12,37,09,34,00
638,1,00,00,00,00,00,00,00
639,2,00,00,00,00,00,00,00
640,2,00,00,00,00,00,00,00
641,2,09,01,17,42,02,07,00
642,1,07,01,03,12,06,25,09
643,2,09,01,10,34,04,13,00
644,1,07,01,03,09,06,25,06
645,2,07,01,03,12,06,25,09
646,2,00,00,00,00,00,00,00
647,1,10,01,07,28,07,30,00
648,2,09,01,11,35,03,11,00
649,1,07,01,03,10,06,25,07
650,2,00,00,00,00,00,00,00
651,1,00,00,00,00,00,00,00
652,2,00,00,00,00,00,00,00
653,2,05,02,17,42,03,11,00
654,2,00,00,00,00,00,00,00
655,1,06,01,03,10,01,05,07
656,1,12,03,09,30,02,08,00
657,1,05,02,17,42,01,04,00
658,2,11,01,15,40,09,34,00
659,1,06,01,03,08,03,11,05
660,2,00,00,00,00,00,00,00
661,1,00,00,00,00,00,00,00
662,2,00,00,00,00,00,00,00
663,1,12,03,12,37,09,34,00
664,2,00,00,00,00,00,00,00
665,1,09,01,09,31,04,12,00
666,2,09,01,18,43,03,10,00
667,2,09,05,09,31,03,10,00
668,1,07,01,03,12,06,25,09
669,2,06,01,03,12,01,05,09
670,1,06,01,04,15,04,13,12
671,2,00,00,00,00,00,00,00
672,1,07,01,03,08,06,25,05
673,2,00,00,00,00,00,00,00
674,1,07,01,03,07,06,25,04
675,2,07,01,03,10,06,25,07
676,1,06,01,03,13,02,07,10
677,1,07,01,03,08,06,25,05
678,2,09,01,11,35,03,11,00
679, ,  ,  ,  ,  ,  ,  ,  
680,1,00,00,00,00,00,00,00
681,2,00,00,00,00,00,00,00
682,1,10,05,09,31,07,30,00
683, ,  ,  ,  ,  ,  ,  ,  
684,1,00,00,00,00,00,00,00
685,1,07,01,03,10,05,17,07
686,2,09,01,09,31,03,10,00
687,1,09,01,09,31,03,11,00
688,2,00,00,00,00,00,00,00
689,1,07,01,03,12,05,19,09
690,2,00,00,00,00,00,00,00
691,1,07,01,03,12,06,25,09
692,2,09,01,09,31,04,12,00
693,2,05,02,17,42,03,10,00
694,1,06,01,03,12,01,05,09
695,2,06,01,03,12,03,11,09
696,1,05,02,20,47,09,32,00
697,2,07,01,03,07,06,25,04
698,1,09,01,09,31,04,12,00
699,1,07,01,03,12,06,25,09
700,2,09,01,17,42,03,11,00
701,2,06,01,03,12,03,11,09
702,2,09,01,09,31,04,12,00
703,1,11,01,09,30,09,34,00
704,1,07,01,03,08,06,25,05
705,2,10,01,12,37,06,27,00
706,1,00,00,00,00,00,00,00
707,2,00,00,00,00,00,00,00
708,1,12,03,14,39,01,03,00
709,2,13,04,14,39,01,03,00
710,2,09,01,15,40,01,02,00
711,2,00,00,00,00,00,00,00
712,1,07,01,03,09,06,25,06
713,2,11,01,10,34,09,34,00
714,2,09,01,10,34,03,11,00
715,1,10,01,09,31,07,30,00
716,1,09,01,10,34,01,01,00
717,2,00,00,00,00,00,00,00
718,2,09,01,09,31,03,11,00
719,2,07,01,04,20,06,26,17
720,1,09,01,10,33,02,07,00
721,2,00,00,00,00,00,00,00
722,1,09,01,08,29,02,07,00
723,2,00,00,00,00,00,00,00
724,1,06,01,03,12,01,05,09
725,2,09,01,14,39,03,10,00
726,1,07,01,02,03,05,15,00
727,2,00,00,00,00,00,00,00
728,2,05,02,20,47,03,11,00
729,2,09,01,12,37,01,05,00
730,2,09,01,12,37,03,11,00
731, ,  ,  ,  ,  ,  ,  ,  
732, ,  ,  ,  ,  ,  ,  ,  
733,1,09,01,11,35,02,07,00
734, ,  ,  ,  ,  ,  ,  ,  
735,1,09,01,11,35,01,01,00
736,2,00,00,00,00,00,00,00
737,2,09,01,16,41,03,10,00
738,2,09,01,17,42,01,04,00
739,2,00,00,00,00,00,00,00
740,1,00,00,00,00,00,00,00
741,2,00,00,00,00,00,00,00
742,1,10,01,06,26,06,22,00
743,1,00,00,00,00,00,00,00
744,2,00,00,00,00,00,00,00
